key,label_fr,short_fr,explanation_fr,attention_level,integration_rule_fr,covered_in_scan
B9_TRADER_ATTENTION_PACKET_V0,Paquet d'attention trader,Attention packet,Brique attendue pour préparer une attention lisible sans décision.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True
MISSING,Manquant,Manquant,La brique ou donnée attendue n'est pas présente.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,False
MISSING_INPUT,Entrée manquante,Entrée manquante,Le fichier ou champ attendu n'est pas disponible pour cette étape.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True
RAW_UNAVAILABLE,Raw indisponible,Raw indisponible,La preuve raw attendue n'est pas disponible ; la lecture doit afficher cette limite.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True
RISK_001,Risque technique 001 : briques live absentes,Risque 001,Une ou plusieurs briques live sont absentes ; la chaîne reste en dry-run.,WATCH,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True
RISK_002,Risque technique 002 : mémoire B6 non visible,Risque 002,Aucun film B6 comparable n'est visible dans les artefacts validés.,WATCH,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True
RISK_003,Risque technique 003 : garde no-send non confirmé,Risque 003,Le garde no-send Telegram n'est pas confirmé dans l'approbation manuelle.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True
B6_FALSE_POSITIVE_CONTEXT_V0,Traduction à ajouter : B6_FALSE_POSITIVE_CONTEXT_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B6_FILM_CARDS_V0,Traduction à ajouter : B6_FILM_CARDS_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B6_HUMAN_TERRAIN_SYNTHESIS_V0,Traduction à ajouter : B6_HUMAN_TERRAIN_SYNTHESIS_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B6_LIVE_SCENE_QUERY_PAYLOAD_V0,Traduction à ajouter : B6_LIVE_SCENE_QUERY_PAYLOAD_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B6_SIMILARITY_INDEX_V0,Traduction à ajouter : B6_SIMILARITY_INDEX_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B6_SIMILARITY_QUERY_RESULT_V0,Traduction à ajouter : B6_SIMILARITY_QUERY_RESULT_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0,Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_FRENCH_DISPLAY_STATE_HARDENING_LEAKS_V0,Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_LEAKS_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_FRENCH_DISPLAY_STATE_HARDENING_V0,Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_FRENCH_TRADER_SCENE_REPORT_V0,Traduction à ajouter : B9_FRENCH_TRADER_SCENE_REPORT_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_CONTRACT_RISKS_V0,Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_RISKS_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_CONTRACT_STEPS_V0,Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_STEPS_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_CONTRACT_VALIDATOR_MANIFEST,Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_VALIDATOR_MANIFEST,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_CONTRACT_VALIDATOR_V0,Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_VALIDATOR_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_MISSING_INPUTS_PLAN_READY,Traduction à ajouter : B9_LIVE_CHAIN_MISSING_INPUTS_PLAN_READY,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_MISSING_INPUTS_V0,Traduction à ajouter : B9_LIVE_CHAIN_MISSING_INPUTS_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_MISSING_INPUT_RESOLVER_MANIFEST,Traduction à ajouter : B9_LIVE_CHAIN_MISSING_INPUT_RESOLVER_MANIFEST,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_MISSING_INPUT_RESOLVER_V0,Traduction à ajouter : B9_LIVE_CHAIN_MISSING_INPUT_RESOLVER_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_ORCHESTRATOR_DRY_RUN_MANIFEST,Traduction à ajouter : B9_LIVE_CHAIN_ORCHESTRATOR_DRY_RUN_MANIFEST,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_ORCHESTRATOR_DRY_RUN_V0,Traduction à ajouter : B9_LIVE_CHAIN_ORCHESTRATOR_DRY_RUN_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_REGENERATION_PLAN_V0,Traduction à ajouter : B9_LIVE_CHAIN_REGENERATION_PLAN_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_RESOLVER_STEPS_V0,Traduction à ajouter : B9_LIVE_CHAIN_RESOLVER_STEPS_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_STEPS_V0,Traduction à ajouter : B9_LIVE_CHAIN_STEPS_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_LIVE_CHAIN_TECHNICAL_RISKS_V0,Traduction à ajouter : B9_LIVE_CHAIN_TECHNICAL_RISKS_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_REALITY_BOARD_READ_MODEL_V01,Traduction à ajouter : B9_REALITY_BOARD_READ_MODEL_V01,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_REALITY_BOARD_SCENE_PANEL_CANDIDATE_V01,Traduction à ajouter : B9_REALITY_BOARD_SCENE_PANEL_CANDIDATE_V01,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_TELEGRAM_MANUAL_APPROVAL_BLOCKERS_V0,Traduction à ajouter : B9_TELEGRAM_MANUAL_APPROVAL_BLOCKERS_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_TELEGRAM_MANUAL_APPROVAL_CANDIDATE_MANIFEST,Traduction à ajouter : B9_TELEGRAM_MANUAL_APPROVAL_CANDIDATE_MANIFEST,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
B9_TELEGRAM_MANUAL_APPROVAL_CHECKLIST_V0,Traduction à ajouter : B9_TELEGRAM_MANUAL_APPROVAL_CHECKLIST_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
BLOCKED_T0169_BUILDER_NOT_FOUND,Traduction à ajouter : BLOCKED_T0169_BUILDER_NOT_FOUND,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0147_LATEST_SCENE_CANDIDATE,Traduction à ajouter : T0147_LATEST_SCENE_CANDIDATE,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0148_LIVE_BRIEF_ONCE,Traduction à ajouter : T0148_LIVE_BRIEF_ONCE,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0155_TRADER_ATTENTION_PACKET,Traduction à ajouter : T0155_TRADER_ATTENTION_PACKET,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0156_REALITY_BOARD_CANDIDATE,Traduction à ajouter : T0156_REALITY_BOARD_CANDIDATE,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0157_TELEGRAM_FR_GATE,Traduction à ajouter : T0157_TELEGRAM_FR_GATE,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0159_FRENCH_DISPLAY_CONTRACT,Traduction à ajouter : T0159_FRENCH_DISPLAY_CONTRACT,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0166_FRESHNESS_GUARD,Traduction à ajouter : T0166_FRESHNESS_GUARD,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0167_B9_B6_REALIGNMENT,Traduction à ajouter : T0167_B9_B6_REALIGNMENT,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0169_SURFACE_ADAPTER_CANDIDATE,Traduction à ajouter : T0169_SURFACE_ADAPTER_CANDIDATE,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0170_TELEGRAM_MANUAL_APPROVAL,Traduction à ajouter : T0170_TELEGRAM_MANUAL_APPROVAL,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0172_CONTRACT_VALIDATOR,Traduction à ajouter : T0172_CONTRACT_VALIDATOR,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0174_T0169_IMPORT_PATH_HOTFIX_REPORT,Traduction à ajouter : T0174_T0169_IMPORT_PATH_HOTFIX_REPORT,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0174_T0169_IMPORT_PATH_HOTFIX_ROWS,Traduction à ajouter : T0174_T0169_IMPORT_PATH_HOTFIX_ROWS,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
T0174_T0169_IMPORT_PATH_HOTFIX_V0,Traduction à ajouter : T0174_T0169_IMPORT_PATH_HOTFIX_V0,Traduction à ajouter,"Enum technique visible dans une sortie affichable, non encore couvert par T0170.",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True
