file,line,tokens,original_text,display_text_fr
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,12,B9_TELEGRAM_FR_GATE_CANDIDATE_REVIEW_TECHNICAL_RISK,"B9_TELEGRAM_FR_GATE_CANDIDATE_REVIEW_TECHNICAL_RISK,Gate Telegram FR : revue technique requise,Gate FR en revue,""Le gate français Telegram n'est pas en erreur critique, mais demande une relecture technique."",WATCH,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Gate Telegram FR : revue technique requise (B9_TELEGRAM_FR_GATE_CANDIDATE_REVIEW_TECHNICAL_RISK),Gate Telegram FR : revue technique requise,Gate FR en revue,""Le gate français Telegram n'est pas en erreur critique, mais demande une relecture technique."",WATCH,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,13,B9_TELEGRAM_FR_GATE_CANDIDATE_V0,"B9_TELEGRAM_FR_GATE_CANDIDATE_V0,Gate Telegram FR candidat,Gate Telegram FR,""Brique candidate de contrôle Telegram FR, sans envoi."",INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Gate Telegram FR candidat (B9_TELEGRAM_FR_GATE_CANDIDATE_V0),Gate Telegram FR candidat,Gate Telegram FR,""Brique candidate de contrôle Telegram FR, sans envoi."",INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,14,B9_TELEGRAM_MANUAL_APPROVAL_CANDIDATE_REVIEW_TECHNICAL_RISK,"B9_TELEGRAM_MANUAL_APPROVAL_CANDIDATE_REVIEW_TECHNICAL_RISK,Approbation manuelle Telegram : revue technique requise,Revue Telegram requise,""Le message candidat existe, mais doit rester en revue technique avant tout usage manuel."",WATCH,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Approbation manuelle Telegram : revue technique requise (B9_TELEGRAM_MANUAL_APPROVAL_CANDIDATE_REVIEW_TECHNICAL_RISK),Approbation manuelle Telegram : revue technique requise,Revue Telegram requise,""Le message candidat existe, mais doit rester en revue technique avant tout usage manuel."",WATCH,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,15,B9_TELEGRAM_MANUAL_APPROVAL_CANDIDATE_V0,"B9_TELEGRAM_MANUAL_APPROVAL_CANDIDATE_V0,Candidat d'approbation manuelle Telegram,Approbation manuelle,""Brique candidate de revue manuelle, sans envoi automatique."",INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Candidat d'approbation manuelle Telegram (B9_TELEGRAM_MANUAL_APPROVAL_CANDIDATE_V0),Candidat d'approbation manuelle Telegram,Approbation manuelle,""Brique candidate de revue manuelle, sans envoi automatique."",INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,16,B9_TRADER_ATTENTION_PACKET_V0,"B9_TRADER_ATTENTION_PACKET_V0,Paquet d'attention trader,Attention packet,Brique attendue pour préparer une attention lisible sans décision.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Paquet d'attention trader (B9_TRADER_ATTENTION_PACKET_V0),Paquet d'attention trader,Attention packet,Brique attendue pour préparer une attention lisible sans décision.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,18,MISSING_INPUT,"MISSING_INPUT,Entrée manquante,Entrée manquante,Le fichier ou champ attendu n'est pas disponible pour cette étape.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Entrée manquante (MISSING_INPUT),Entrée manquante,Entrée manquante,Le fichier ou champ attendu n'est pas disponible pour cette étape.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,19,RAW_UNAVAILABLE,"RAW_UNAVAILABLE,Raw indisponible,Raw indisponible,La preuve raw attendue n'est pas disponible ; la lecture doit afficher cette limite.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Raw indisponible (RAW_UNAVAILABLE),Raw indisponible,Raw indisponible,La preuve raw attendue n'est pas disponible ; la lecture doit afficher cette limite.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,20,RISK_001,"RISK_001,Risque technique 001 : briques live absentes,Risque 001,Une ou plusieurs briques live sont absentes ; la chaîne reste en dry-run.,WATCH,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Risque technique 001 : briques live absentes (RISK_001),Risque technique 001 : briques live absentes,Risque 001,Une ou plusieurs briques live sont absentes ; la chaîne reste en dry-run.,WATCH,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,21,RISK_002,"RISK_002,Risque technique 002 : mémoire B6 non visible,Risque 002,Aucun film B6 comparable n'est visible dans les artefacts validés.,WATCH,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Risque technique 002 : mémoire B6 non visible (RISK_002),Risque technique 002 : mémoire B6 non visible,Risque 002,Aucun film B6 comparable n'est visible dans les artefacts validés.,WATCH,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,22,RISK_003,"RISK_003,Risque technique 003 : garde no-send non confirmé,Risque 003,Le garde no-send Telegram n'est pas confirmé dans l'approbation manuelle.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Risque technique 003 : garde no-send non confirmé (RISK_003),Risque technique 003 : garde no-send non confirmé,Risque 003,Le garde no-send Telegram n'est pas confirmé dans l'approbation manuelle.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,23,B6_FALSE_POSITIVE_CONTEXT_V0,"B6_FALSE_POSITIVE_CONTEXT_V0,Traduction à ajouter : B6_FALSE_POSITIVE_CONTEXT_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B6_FALSE_POSITIVE_CONTEXT_V0 (B6_FALSE_POSITIVE_CONTEXT_V0),Traduction à ajouter : Traduction à ajouter : B6_FALSE_POSITIVE_CONTEXT_V0 (B6_FALSE_POSITIVE_CONTEXT_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,24,B6_FILM_CARDS_V0,"B6_FILM_CARDS_V0,Traduction à ajouter : B6_FILM_CARDS_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B6_FILM_CARDS_V0 (B6_FILM_CARDS_V0),Traduction à ajouter : Traduction à ajouter : B6_FILM_CARDS_V0 (B6_FILM_CARDS_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,25,B6_HUMAN_TERRAIN_SYNTHESIS_V0,"B6_HUMAN_TERRAIN_SYNTHESIS_V0,Traduction à ajouter : B6_HUMAN_TERRAIN_SYNTHESIS_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B6_HUMAN_TERRAIN_SYNTHESIS_V0 (B6_HUMAN_TERRAIN_SYNTHESIS_V0),Traduction à ajouter : Traduction à ajouter : B6_HUMAN_TERRAIN_SYNTHESIS_V0 (B6_HUMAN_TERRAIN_SYNTHESIS_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,26,B6_LIVE_SCENE_QUERY_PAYLOAD_V0,"B6_LIVE_SCENE_QUERY_PAYLOAD_V0,Traduction à ajouter : B6_LIVE_SCENE_QUERY_PAYLOAD_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B6_LIVE_SCENE_QUERY_PAYLOAD_V0 (B6_LIVE_SCENE_QUERY_PAYLOAD_V0),Traduction à ajouter : Traduction à ajouter : B6_LIVE_SCENE_QUERY_PAYLOAD_V0 (B6_LIVE_SCENE_QUERY_PAYLOAD_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,27,B6_SIMILARITY_INDEX_V0,"B6_SIMILARITY_INDEX_V0,Traduction à ajouter : B6_SIMILARITY_INDEX_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B6_SIMILARITY_INDEX_V0 (B6_SIMILARITY_INDEX_V0),Traduction à ajouter : Traduction à ajouter : B6_SIMILARITY_INDEX_V0 (B6_SIMILARITY_INDEX_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,28,B6_SIMILARITY_QUERY_RESULT_V0,"B6_SIMILARITY_QUERY_RESULT_V0,Traduction à ajouter : B6_SIMILARITY_QUERY_RESULT_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B6_SIMILARITY_QUERY_RESULT_V0 (B6_SIMILARITY_QUERY_RESULT_V0),Traduction à ajouter : Traduction à ajouter : B6_SIMILARITY_QUERY_RESULT_V0 (B6_SIMILARITY_QUERY_RESULT_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,29,B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0,"B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0,Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0 (B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0),Traduction à ajouter : Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0 (B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,30,B9_FRENCH_DISPLAY_STATE_HARDENING_LEAKS_V0,"B9_FRENCH_DISPLAY_STATE_HARDENING_LEAKS_V0,Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_LEAKS_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_LEAKS_V0 (B9_FRENCH_DISPLAY_STATE_HARDENING_LEAKS_V0),Traduction à ajouter : Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_LEAKS_V0 (B9_FRENCH_DISPLAY_STATE_HARDENING_LEAKS_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,31,B9_FRENCH_DISPLAY_STATE_HARDENING_V0,"B9_FRENCH_DISPLAY_STATE_HARDENING_V0,Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_V0 (B9_FRENCH_DISPLAY_STATE_HARDENING_V0),Traduction à ajouter : Traduction à ajouter : B9_FRENCH_DISPLAY_STATE_HARDENING_V0 (B9_FRENCH_DISPLAY_STATE_HARDENING_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,32,B9_FRENCH_TRADER_SCENE_REPORT_V0,"B9_FRENCH_TRADER_SCENE_REPORT_V0,Traduction à ajouter : B9_FRENCH_TRADER_SCENE_REPORT_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B9_FRENCH_TRADER_SCENE_REPORT_V0 (B9_FRENCH_TRADER_SCENE_REPORT_V0),Traduction à ajouter : Traduction à ajouter : B9_FRENCH_TRADER_SCENE_REPORT_V0 (B9_FRENCH_TRADER_SCENE_REPORT_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,33,B9_LIVE_CHAIN_CONTRACT_RISKS_V0,"B9_LIVE_CHAIN_CONTRACT_RISKS_V0,Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_RISKS_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_RISKS_V0 (B9_LIVE_CHAIN_CONTRACT_RISKS_V0),Traduction à ajouter : Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_RISKS_V0 (B9_LIVE_CHAIN_CONTRACT_RISKS_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,34,B9_LIVE_CHAIN_CONTRACT_STEPS_V0,"B9_LIVE_CHAIN_CONTRACT_STEPS_V0,Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_STEPS_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_STEPS_V0 (B9_LIVE_CHAIN_CONTRACT_STEPS_V0),Traduction à ajouter : Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_STEPS_V0 (B9_LIVE_CHAIN_CONTRACT_STEPS_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,35,B9_LIVE_CHAIN_CONTRACT_VALIDATOR_MANIFEST,"B9_LIVE_CHAIN_CONTRACT_VALIDATOR_MANIFEST,Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_VALIDATOR_MANIFEST,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_VALIDATOR_MANIFEST (B9_LIVE_CHAIN_CONTRACT_VALIDATOR_MANIFEST),Traduction à ajouter : Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_VALIDATOR_MANIFEST (B9_LIVE_CHAIN_CONTRACT_VALIDATOR_MANIFEST),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,36,B9_LIVE_CHAIN_CONTRACT_VALIDATOR_V0,"B9_LIVE_CHAIN_CONTRACT_VALIDATOR_V0,Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_VALIDATOR_V0,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_VALIDATOR_V0 (B9_LIVE_CHAIN_CONTRACT_VALIDATOR_V0),Traduction à ajouter : Traduction à ajouter : B9_LIVE_CHAIN_CONTRACT_VALIDATOR_V0 (B9_LIVE_CHAIN_CONTRACT_VALIDATOR_V0),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,37,B9_LIVE_CHAIN_MISSING_INPUTS_PLAN_READY,"B9_LIVE_CHAIN_MISSING_INPUTS_PLAN_READY,Traduction à ajouter : B9_LIVE_CHAIN_MISSING_INPUTS_PLAN_READY,Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True","Traduction à ajouter : B9_LIVE_CHAIN_MISSING_INPUTS_PLAN_READY (B9_LIVE_CHAIN_MISSING_INPUTS_PLAN_READY),Traduction à ajouter : Traduction à ajouter : B9_LIVE_CHAIN_MISSING_INPUTS_PLAN_READY (B9_LIVE_CHAIN_MISSING_INPUTS_PLAN_READY),Traduction à ajouter,""Enum technique visible dans une sortie affichable, non encore couvert par T0170."",WATCH,Ajouter cet enum au dictionnaire T0170 si la fuite se répète.,True"
