category,key,label_fr,short_fr,explanation_fr,attention_level,trader_usage_fr,technical_limit_fr
memory_confidence_ladder,B6_LIVE_QUERY_ONLY_NOT_CANDIDATE,Scène live utilisée seulement comme requête,Requête live,La scène sert à interroger B6 ; elle n’est pas une carte mémoire stockée.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
memory_confidence_ladder,B6_REVIEW_CANDIDATE,Film mémoire à revoir,Film à revoir,B6 conserve le film mais demande une relecture technique.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
memory_confidence_ladder,MEMORY_NOT_COMPARABLE,Mémoire non comparable,Non comparable,B6 ne trouve pas de film proche exploitable.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
memory_confidence_ladder,MEMORY_PARTIAL_COMPARABLE,Mémoire comparable partielle,Mémoire partielle,B6 trouve une ressemblance utile mais incomplète.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
memory_confidence_ladder,MEMORY_STRONG_COMPARABLE,Mémoire fortement comparable,Mémoire forte,B6 trouve une famille de film proche avec comparaison exploitable.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
memory_confidence_ladder,MEMORY_UNKNOWN,Mémoire inconnue,Mémoire inconnue,La mémoire n’est pas disponible ou pas encore construite.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
memory_confidence_ladder,MEMORY_WEAK_COMPARABLE,Mémoire faiblement comparable,Mémoire faible,La ressemblance existe mais reste fragile.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
price_verdict,ACCEPTED,Accepté par le prix,Accepté,Le prix confirme la zone ou la projection.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
price_verdict,FAILED_RETEST,Retest échoué,Retest échoué,Le retour sur la zone ne tient pas.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
price_verdict,HIGH_REJECTED,Haut rejeté,Haut rejeté,La zone haute ne conserve pas l’acceptation.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
price_verdict,LOWER_ACCEPTED,Zone basse acceptée,Bas accepté,Le prix accepte de travailler sous la mémoire précédente.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
price_verdict,PENDING,Prix en attente de verdict,En attente,Le prix n’a pas encore donné un jugement clair.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
price_verdict,PRICE_NOT_VISIBLE,Prix non visible,Prix absent,Le verdict prix ne peut pas être établi depuis les champs disponibles.,BLOCKER,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
price_verdict,REJECTED,Rejeté par le prix,Rejeté,"Le prix refuse la zone, la projection ou le retour.",ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
price_verdict,RETEST_ACCEPTED,Retest accepté,Retest accepté,Le retest confirme que la zone reste travaillée ou défendue.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
price_verdict,RETEST_PENDING,Retest en attente,Retest attendu,La cassure ou projection n’est pas encore jugée par retour sur zone.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
reality_board_payload_state,B9_LIVE_BRIEF_READY,Brief B9 prêt pour affichage,Brief affichable,Le brief peut alimenter une surface d’affichage si un module séparé le décide.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
reality_board_payload_state,BLOCKED_MISSING_INPUTS,Affichage bloqué : entrées manquantes,Entrées manquantes,Le payload manque de matière pour être affiché proprement.,BLOCKER,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
reality_board_payload_state,REALITY_BOARD_NOT_MUTATED_READ_ONLY,Reality Board non modifié : read-only,Board non modifié,"Le contrat produit des fichiers, sans mutation dashboard live.",INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
reality_board_payload_state,REALITY_BOARD_PAYLOAD_BLOCKED,Payload Reality Board bloqué,Payload bloqué,Le payload ne doit pas être affiché sans correction d’entrée.,BLOCKER,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
reality_board_payload_state,REALITY_BOARD_PAYLOAD_PARTIAL,Payload Reality Board partiel,Payload partiel,"L’affichage peut se faire, mais certaines preuves manquent.",WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
reality_board_payload_state,REALITY_BOARD_PAYLOAD_READY,Payload Reality Board prêt,Payload prêt,Les champs nécessaires à l’affichage sont disponibles.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_role,CENTER_MIGRATION,Migration de centre,Centre migré,Le centre de gravité de la scène se déplace par paliers.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_role,CORRECTIVE_REBOUND_WITHOUT_PROGRESS,Rebond correctif sans progrès,Correction sans progrès,La scène respire mais ne répare pas la mémoire précédente.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_role,EFFORT_RESULT_PROGRESS,Effort / résultat / progrès,Effort-résultat,La scène est lue par ce que l’effort obtient et par la mémoire déplacée.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_role,FAILED_REINTEGRATION_ROLE,Réintégration refusée,Retour refusé,La tentative de retour dans la zone échoue.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_role,HIGH_ZONE_REJECTION,Rejet de zone haute,Rejet haut,Le haut travaillé ne se transforme pas en acceptation durable.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_role,LOW_ZONE_DEFENSE,Défense de zone basse,Défense basse,La zone basse absorbe les tests et reste active.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_role,PROGRESSIVE_FIRST_LEG,Première jambe progressive,Première jambe,La scène démarre un déplacement réel avec mémoire qui commence à migrer.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_role,PROGRESSIVE_WAVE_MEMORY_SHIFT,Vague progressive avec mémoire déplacée,Vague + mémoire,La vague produit assez de résultat pour déplacer la mémoire.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_role,PROJECTION_REJECTED_THEN_MEMORY_SHIFTED,Projection refusée puis mémoire déplacée,Projection refusée,La projection initiale échoue puis le flux imprime une mémoire ailleurs.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_state,B9_LIVE_BRIEF_READY,Brief live B9 prêt,Brief prêt,"Le brief peut afficher la scène, la mémoire proche et les limites techniques.",ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_state,BLOCKED_MISSING_INPUTS,Brief bloqué : entrées manquantes,Entrées manquantes,Un ou plusieurs fichiers attendus sont absents.,BLOCKER,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_state,SCENE_ACCEPTED,Scène acceptée par le prix,Scène acceptée,Le prix confirme que la scène a obtenu une acceptation visible.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_state,SCENE_CANDIDATE,Scène candidate,Scène candidate,"B9 voit une scène exploitable en lecture, encore à qualifier.",WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_state,SCENE_CONSUMED,Scène consommée,Consommée,L’effort a déjà produit son effet principal ; lecture tardive possible.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_state,SCENE_EXHAUSTED,Scène essoufflée,Essoufflée,La progression perd de l’efficacité ou ne déplace plus la mémoire.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_state,SCENE_PARTIAL,Scène partielle,Partielle,"La scène est visible, mais la source ou les champs restent incomplets.",WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_state,SCENE_PENDING,Scène en attente de jugement,En attente,"La scène existe, mais le retest ou l’acceptation reste à venir.",WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_state,SCENE_REJECTED,Scène rejetée par le prix,Scène rejetée,Le prix refuse la scène ou invalide son déplacement.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_state,SCENE_UNKNOWN,Scène non qualifiée,Non qualifiée,B9 ne dispose pas d’assez de champs pour qualifier la scène.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,ABSORPTION_ACCOMPANYING_PRESSURE,Absorption qui accompagne la pression,Absorption accompagnante,L’absorption ne bloque pas le mouvement ; elle accompagne le déplacement.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,CENTER_MIGRATION_DOWN,Centre qui migre vers le bas,Centre descendant,La mémoire interne se déplace par paliers vers une zone inférieure.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,CENTER_MIGRATION_UP,Centre qui migre vers le haut,Centre montant,La mémoire interne se déplace par paliers vers une zone supérieure.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,CORRECTIVE_BOUNCE,Rebond correctif,Rebond correctif,Le prix respire mais ne prouve pas encore un progrès durable.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,CORRECTIVE_BOUNCE_WITHOUT_PROGRESS,Rebond correctif sans progrès durable,Rebond sans progrès,Le rebond corrige localement mais ne déplace pas la mémoire.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,EFFORT_WITHOUT_RESULT,Effort sans résultat,Effort sans résultat,Le flux dépense de l’énergie mais ne gagne pas de terrain mesurable.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,FAILED_REINTEGRATION,Réintégration échouée,Réintégration échouée,Le prix tente de revenir dans une zone mais n’y conserve pas de centre stable.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,HIGH_REJECTION,Rejet de zone haute,Rejet haut,Le haut travaillé n’est pas accepté et la mémoire reste fragile.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,LOW_DEFENDED,Zone basse défendue,Bas défendu,L’effort opposé ne parvient pas à déplacer la mémoire sous la zone.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,MEMORY_SHIFT_DOWN,Mémoire déplacée vers le bas,Mémoire basse,Le flux imprime une nouvelle mémoire sous la zone précédente.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,MEMORY_SHIFT_UP,Mémoire déplacée vers le haut,Mémoire haute,Le flux imprime une nouvelle mémoire au-dessus de la zone précédente.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,PROGRESSIVE_WAVE,Vague progressive réelle,Vague progressive,L’effort produit du résultat et déplace la mémoire.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,PULLBACK_ABSORBED,Pullback absorbé,Pullback absorbé,Le retour contre le mouvement ne reprend pas la mémoire précédente.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,RELEASE_DOWN_ACCEPTED,Release baissière acceptée,Release acceptée bas,Le prix accepte la projection inférieure après tension libérée.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,RELEASE_UP_ACCEPTED,Release haussière acceptée,Release acceptée haut,Le prix accepte la projection supérieure après tension libérée.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,SECOND_LEG_DOWN,Deuxième jambe baissière,Deuxième jambe basse,"Après rejet ou counter-breath échoué, une nouvelle jambe prolonge le déplacement bas.",ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
scene_transition,SECOND_LEG_UP,Deuxième jambe haussière,Deuxième jambe haute,"Après pullback absorbé, une nouvelle jambe prolonge le déplacement haut.",ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
source_quality_gate,M1_BAR_PROXY,Lecture reconstruite M1,M1 reconstruit,"Lecture utile pour le film, limitée pour footprint exact.",WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
source_quality_gate,RAW_AGREEMENT_NOT_VISIBLE,Accord raw non visible,Raw non visible,Le raw ne permet pas encore de confirmer ou nuancer la lecture.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
source_quality_gate,RAW_UNAVAILABLE_REJECTED,Rejeté : raw indisponible,Raw indisponible,La scène est rejetée car la preuve raw attendue n’est pas disponible.,BLOCKER,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
source_quality_gate,RECONSTRUCTED,Donnée reconstruite,Reconstruit,La lecture vient d’une reconstruction et doit afficher ses limites.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
source_quality_gate,SOURCE_QUALITY_DEGRADED,Source dégradée,Source dégradée,La qualité des données limite fortement la lecture.,BLOCKER,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
source_quality_gate,SOURCE_QUALITY_LIVE_UNQUALIFIED,Source live non qualifiée,Live non qualifié,Le live est utilisable mais sans validation raw complète.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
source_quality_gate,SOURCE_QUALITY_PARTIAL,Source partielle,Source partielle,"La source permet une lecture, mais des champs manquent.",WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
source_quality_gate,SOURCE_QUALITY_USABLE,Source exploitable,Source exploitable,La source est suffisante pour une lecture comparative.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
source_quality_gate,SOURCE_RAW_CONFIRMED,Source confirmée par raw,Raw confirmé,La lecture proxy est soutenue par la texture raw disponible.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
source_quality_gate,SOURCE_RAW_NUANCED,Source nuancée par raw,Raw nuancé,La source soutient la lecture mais ajoute des limites.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
telegram_gate_state,TELEGRAM_ALLOWED_PREVIEW_ONLY,Prévisualisation Telegram autorisée,Prévisualisation,"Le trader peut lire le message, aucun envoi n’est fait.",INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
telegram_gate_state,TELEGRAM_BLOCKED_FORBIDDEN_LANGUAGE,Telegram bloqué : langage interdit,Langage bloqué,Le texte contient un langage incompatible avec PowerFlow.,BLOCKER,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
telegram_gate_state,TELEGRAM_BLOCKED_MISSING_INPUTS,Telegram bloqué : entrées manquantes,Entrées manquantes,Le message ne peut pas être préparé correctement.,BLOCKER,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
telegram_gate_state,TELEGRAM_NOT_SENT_READ_ONLY,Telegram non envoyé : mode read-only,Non envoyé,"Le contrat autorise l’affichage du texte, pas l’envoi.",INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
telegram_gate_state,TELEGRAM_READY_DRAFT_ONLY,Message Telegram prêt en brouillon,Brouillon prêt,Le message peut être préparé mais aucun envoi live n’est effectué.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
terrain_node,ABSORPTION_NODE,Node d’absorption,Node absorption,Le flux travaille une zone avec effort visible et résultat à mesurer.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
terrain_node,CENTER_MIGRATION_NODE,Node de migration du centre,Node centre,La structure interne déplace son centre de gravité.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
terrain_node,EFFORT_WITHOUT_RESULT_NODE,Node d’effort sans résultat,Node friction,Le flux dépense de l’énergie sans déplacer la mémoire.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
terrain_node,FAILED_REINTEGRATION_NODE,Node de réintégration échouée,Node retour échoué,Le retour dans l’ancienne zone échoue.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
terrain_node,HIGH_REJECTION_NODE,Node de rejet haut,Node rejet haut,La zone haute attire l’effort mais ne conserve pas le centre.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
terrain_node,LOW_DEFENSE_NODE,Node de défense basse,Node défense basse,La zone basse est testée puis défendue.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
terrain_node,PROGRESSIVE_REACTION_NODE,Node de réaction progressive,Node progressif,Le node produit une réaction avec déplacement de mémoire.,ATTENTION,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
terrain_node,UNKNOWN_TERRAIN_NODE,Node terrain non qualifié,Node inconnu,Le node existe mais manque de preuves exploitables.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
